"type","cov_type","Percentile","Disease_Class","Estimate","OR","CI_lower","CI_upper","p_value","DidNotConverge","Entangled_and_Disease","NotEntangled_and_Disease","Entangled_and_NoDisease","NotEntangled_and_NoDisease","n_tested_BH","p_value_BH"
"af","noncovalent","75th","Otorhinolaryngologic Diseases (C09)",0.249699400033801,1.28363949669756,0.868650356803206,1.89688560486629,0.210123889108873,FALSE,120,36,8229,4222,23,0.230135688071623
"af","noncovalent","75th","Nervous System Diseases (C10)",0.51027366890711,1.66574699573363,1.45201123493062,1.91094461740044,3.26702751958296e-13,FALSE,1137,311,6769,3812,23,2.50472109834694e-12
"af","noncovalent","75th","Eye Diseases (C11)",0.2064669954012,1.22932716009779,0.997261628955022,1.51539498028982,0.0530793844725467,FALSE,380,136,7906,4113,23,0.0610412921434288
"af","noncovalent","75th","Urogenital Diseases (C12)",0.374880915751328,1.45481815837502,1.21405948331826,1.74332139653724,4.87790370633533e-05,FALSE,565,177,7424,3974,23,0.000112191785245712
"af","noncovalent","75th","Cardiovascular Diseases (C14)",0.317138064656847,1.37319214814099,1.13610292007375,1.6597586736188,0.00103987436821282,FALSE,490,164,7637,4045,23,0.0017083650334925
"af","noncovalent","75th","Hemic and Lymphatic Diseases (C15)",0.340694616114146,1.40592382881569,1.12843150276411,1.75165422765139,0.00238887269206689,FALSE,362,119,7885,4137,23,0.0036629381278359
"af","noncovalent","75th","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)",0.488640738531207,1.6300989826567,1.44396152891557,1.8402309480184,2.81861130320399e-15,FALSE,1466,418,6500,3731,23,3.24140299868459e-14
"af","noncovalent","75th","Skin and Connective Tissue Diseases (C17)",0.470374919442586,1.60059417461374,1.34721307423583,1.90163067802813,8.81921292663114e-08,FALSE,667,191,7412,4011,23,2.53552371640645e-07
"af","noncovalent","75th","Nutritional and Metabolic Diseases (C18)",0.640010920833647,1.89650159057024,1.62123275653156,2.21850827313051,1.2567831064501e-15,FALSE,840,231,7326,3970,23,2.89060114483522e-14
"af","noncovalent","75th","Endocrine System Diseases (C19)",0.379805466193212,1.46200015331355,1.18827289764456,1.79878246194605,0.000329568008784979,FALSE,431,132,7801,4100,23,0.000583081861696502
"af","noncovalent","75th","Immune System Diseases (C20)",0.406693311034898,1.50184343621525,1.21820776544976,1.85151808326396,0.000139981804632446,FALSE,403,132,7832,4107,23,0.000268298458878855
"af","noncovalent","75th","Disorders of Environmental Origin (C21)",16.6042937880364,16261221.5938735,0,Inf,0.99587516242173,FALSE,1,0,8442,4309,23,0.99587516242173
"af","noncovalent","75th","Pathological Conditions, Signs and Symptoms (C23)",0.511867880434237,1.66840466667746,1.43565154098695,1.93889258801445,2.43557907164872e-11,FALSE,947,253,6872,3861,23,1.40045796619802e-10
"af","noncovalent","75th","Chemically-Induced Disorders (C25)",0.517225013299609,1.67736651562492,1.09540264328782,2.56851528064136,0.0173548859933471,FALSE,101,30,8188,4213,23,0.0221222851849194
"af","noncovalent","75th","Behavior and Behavior Mechanisms (F01)",0.505024881115787,1.65702674862234,1.29075596436529,2.12723219683134,7.41557008764609e-05,FALSE,336,85,7847,4164,23,0.000155052829105327
"af","noncovalent","75th","Psychological Phenomena (F02)",-0.439009658216313,0.644674553193447,0.284925034680223,1.45864781591275,0.291977377349622,FALSE,16,11,8422,4295,23,0.30524907632006
"af","noncovalent","75th","Mental Disorders (F03)",0.468842661873832,1.59814353006398,1.34597915969808,1.89754999123335,8.73678933790009e-08,FALSE,691,191,7092,3906,23,2.53552371640645e-07
"af","noncovalent","50th","Infections (C01)",0.380788676469983,1.46343831378015,1.14076271372466,1.87738578099829,0.00273353154648908,FALSE,248,98,8196,4211,23,0.0036983073864264
"af","noncovalent","50th","Neoplasms (C04)",0.415174544024923,1.51463508812582,1.35386323567035,1.69449866850546,4.11664239769347e-13,FALSE,1603,510,6841,3799,23,1.893655502939e-12
"af","noncovalent","50th","Musculoskeletal Diseases (C05)",0.41130631623677,1.50878745187514,1.29276511984733,1.76090732955783,1.8184642510412e-07,FALSE,835,242,7609,4067,23,4.18246777739476e-07
"af","noncovalent","50th","Digestive System Diseases (C06)",0.498491217838132,1.64623558510758,1.43489925866475,1.88869816839712,1.15218538256804e-12,FALSE,1081,311,7363,3998,23,4.4167106331775e-12
"af","noncovalent","50th","Stomatognathic Diseases (C07)",0.182415723695218,1.20011300560213,0.909906545534943,1.58287819038451,0.1965260255609,FALSE,212,76,8232,4233,23,0.215242789900033
"af","noncovalent","50th","Respiratory Tract Diseases (C08)",0.32133816541774,1.37897182263835,1.15755914645901,1.64273531373964,0.000320160875507301,FALSE,589,191,7855,4118,23,0.000460231258541746
"af","noncovalent","50th","Otorhinolaryngologic Diseases (C09)",-0.00886952569693236,0.991169692511492,0.760551698193179,1.29171673889787,0.947665211790867,FALSE,215,87,8229,4222,23,0.990740903235906
"af","noncovalent","50th","Nervous System Diseases (C10)",0.440042044087843,1.55277250204241,1.38724819877933,1.73804690841959,1.98789682487606e-14,FALSE,1675,497,6769,3812,23,1.14304067430374e-13
"af","noncovalent","50th","Eye Diseases (C11)",0.201526274921959,1.22326837792172,1.02571033079044,1.45887730629572,0.0249333711757665,FALSE,538,196,7906,4113,23,0.0318593076134794
"af","noncovalent","50th","Urogenital Diseases (C12)",0.326520806993804,1.38613709080882,1.21073526453261,1.58694975755716,2.2424820915636e-06,FALSE,1020,335,7424,3974,23,4.68882619145116e-06
"af","noncovalent","50th","Cardiovascular Diseases (C14)",0.33416315013159,1.39677100835973,1.20126571681235,1.62409467155302,1.40218909121765e-05,FALSE,807,264,7637,4045,23,2.30359636414327e-05
"af","noncovalent","50th","Hemic and Lymphatic Diseases (C15)",0.418605337078025,1.51984041175251,1.2663551647275,1.82406558723445,6.90656970519725e-06,FALSE,559,172,7885,4137,23,1.22193156322721e-05
"af","noncovalent","50th","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)",0.46357390079374,1.58974543683323,1.42993924095703,1.76741114695238,9.79879803860687e-18,FALSE,1944,578,6500,3731,23,2.25372354887958e-16
"af","noncovalent","50th","Skin and Connective Tissue Diseases (C17)",0.436800653642555,1.54774750847329,1.345144254985,1.78086650640454,1.04718308366699e-09,FALSE,1032,298,7412,4011,23,3.0106513655426e-09
"af","noncovalent","50th","Nutritional and Metabolic Diseases (C18)",0.545088199269861,1.72476049828471,1.50988756139353,1.97021212208529,9.78463489339894e-16,FALSE,1118,339,7326,3970,23,1.12523301274088e-14
"af","noncovalent","50th","Endocrine System Diseases (C19)",0.324236226278753,1.38297396332854,1.16933722958355,1.63564191309107,0.000152345176999315,FALSE,643,209,7801,4100,23,0.000233595938065617
"af","noncovalent","50th","Immune System Diseases (C20)",0.407137408343177,1.50251054896325,1.26659435722259,1.78236855144074,2.98533289463729e-06,FALSE,612,202,7832,4107,23,5.72188804805481e-06
"af","noncovalent","50th","Disorders of Environmental Origin (C21)",17.6328368189333,45482437.4334147,0,Inf,0.995409630317495,FALSE,2,0,8442,4309,23,0.995409630317495
"af","noncovalent","50th","Pathological Conditions, Signs and Symptoms (C23)",0.459108539463199,1.58266247479578,1.40750446885636,1.77961815720696,1.69502245117766e-14,FALSE,1572,448,6872,3861,23,1.14304067430374e-13
"af","noncovalent","50th","Chemically-Induced Disorders (C25)",0.236597995427461,1.2669317030509,0.987810367898568,1.62492315565599,0.0624099020673252,FALSE,256,96,8188,4213,23,0.075548828818341
"af","noncovalent","50th","Behavior and Behavior Mechanisms (F01)",0.552545065903254,1.73766987924239,1.43372875379641,2.10604453682808,1.77469113901949e-08,FALSE,597,145,7847,4164,23,4.53532179971648e-08
"af","noncovalent","50th","Psychological Phenomena (F02)",-0.538956005846801,0.583356955828392,0.286826232395034,1.1864512358991,0.136762269051358,FALSE,22,14,8422,4295,23,0.157276609409062
"af","noncovalent","50th","Mental Disorders (F03)",0.406778947615175,1.50197205445837,1.32772169456311,1.69909105320163,1.01060407229286e-10,FALSE,1352,403,7092,3906,23,3.32055623753369e-10
